anio,cat_ipcc2006,categoria,co2_absorciones_Gg,co2_emisiones_Gg,ch4_emisiones_Gg,n2o_emisiones_Gg,emisiones_totales_Gg_CO2eq,emisiones_con_absorciones_Gg_CO2eq
2014,2B8d,Óxido de etileno,NA,NA,NA,NA,NA,NA
2014,2B8e,Acrilonitrilo,NA,NA,NA,NA,NA,NA
2014,2B8f,Negro de humo,NA,93.19,0.00,NA,93.23,93.23
2014,2B8g,Otros,NA,NA,NA,NA,NA,NA
2014,2B9,Producción fluoroquímica,NA,NA,NA,NA,NA,NA
2014,2B9a,Emisiones de productos derivados,NA,NA,NA,NA,NA,NA
2014,2B9b,Emisiones fugitivas,NA,NA,NA,NA,NA,NA
2014,2B10,Otros,NA,NA,NA,NA,NA,NA
2014,2C,Industria de los metales,NA,"1,563.56",2.63E-02,NA,"1,564.11","1,564.11"
2014,2C1,Producción de hierro y acero,NA,698.18,2.63E-02,NA,698.73,698.73
2014,2C2,Producción de ferroaleaciones,NA,865.38,NA,NA,865.38,865.38
2014,2C3,Producción de aluminio,NA,NO,NA,NA,NO,NO
2014,2C4,Producción de magnesio,NA,NO,NA,NA,NO,NO
2014,2C5,Producción de plomo,NA,NE,NA,NA,NE,NE
2014,2C6,Producción de zinc,NA,NO,NA,NA,NO,NO
2014,2C7,Otros,NA,NA,NA,NA,NA,NA
2014,2D,Uso  de productos no energéticos de combustibles y de solvente,NA,21.41,NA,NA,21.41,21.41
2014,2D1,Uso de lubricantes,NA,3.41E-01,NA,NA,3.41E-01,3.41E-01
2014,2D2,Uso de cera de parafina,NA,21.07,NA,NA,21.07,21.07
2014,2D3,Uso de solventes,NA,NA,NA,NA,NA,NA
2014,2D4,Otros,NA,NA,NA,NA,NA,NA
2014,2E,Industria electrónica,NA,NA,NA,NA,NO,NO
2014,20,Circuitos integrados o semiconductores,NA,NA,NA,NA,NO,NO
2014,200,Pantalla plana tipo TFT,NA,NA,NA,NA,NO,NO
2014,2000,Celdas fotovoltaícas,NA,NA,NA,NA,NO,NO
2014,20000,Fluídos de transferencia térmica,NA,NA,NA,NA,NO,NO
2014,200000,Otros,NA,NA,NA,NA,NO,NO
2014,2F,Uso de productos sustitutos de las sustancias que agotan la capa de ozono,NA,NA,NA,NA,"1,890.73","1,890.73"
2014,2F1,Refrigeración y aire acondicionado,NA,NA,NA,NA,"1,608.57","1,608.57"
2014,2F1a,Refrigeración y  aire acondicionado estacionario,NA,NA,NA,NA,"1,358.33","1,358.33"
2014,2F1ai,Refrigeración y  aire acondicionado estacionario - industria manufacturera,NA,NA,NA,NA,180.16,180.16
2014,2F1aii,Refrigeración y  aire acondicionado estacionario - residencial,NA,NA,NA,NA,196.72,196.72
2014,2F1aii,Refrigeración y  aire acondicionado estacionario - comercial,NA,NA,NA,NA,981.46,981.46
2014,2F1b,Aire acondicionado móvil,NA,NA,NA,NA,250.24,250.24
2014,2F1bi,Refrigeración movil (transporte refrigerado) - industria manufacturera,NA,NA,NA,NA,3.68,3.68
2014,2F1bii,Aire acondicionado móvil,NA,NA,NA,NA,246.55,246.55
2014,2F2,Agentes espumantes,NA,NA,NA,NA,NO,NO
2014,2F3,Protección contra incendios,NA,NA,NA,NA,2.78,2.78
2014,2F4,Aerosoles,NA,NA,NA,NA,151.46,151.46
2014,2F5,Solventes,NA,NA,NA,NA,127.00,127.00
2014,2F6,Otras aplicaciones,NA,NA,NA,NA,9.13E-01,9.13E-01
2014,2G,Manufactura y utilización de otros productos,NA,NA,NA,NE,156.64,156.64
2014,2G1,Equipos eléctricos,NA,NA,NA,NA,156.64,156.64
2014,2G1a,Manufactura de equipos eléctricos,NA,NA,NA,NA,NA,NA
2014,2G1b,Uso de equipos eléctricos,NA,NA,NA,NA,156.64,156.64
2014,2G1c,Eliminación de equipos eléctricos,NA,NA,NA,NA,NA,NA
2014,2G2,SF6 y PFCs de otros usos de productos,NA,NA,NA,NA,NE,NE
2014,2G2a,Aplicaciones militares,NA,NA,NA,NA,NA,NA
2014,2G2b,Aceleradores,NA,NA,NA,NA,NA,NA
2014,2G2c,Otros (especificar),NA,NA,NA,NA,NA,NA
2014,2G3,N2O de usos de productos,NA,NA,NA,NE,NE,NE
2014,2G3a,Aplicaciones médicas,NA,NA,NA,NA,NA,NA
2014,2G3b,Propulsor para productos presurizados y aerosoles,NA,NA,NA,NA,NA,NA
2014,2G3c,Otros (especificar,NA,NA,NA,NA,NA,NA
2014,2G4,Otros,NA,NA,NA,NA,NA,NA
2014,2H,Otros,NA,NA,NA,NA,NA,NA
2014,2H1,Industria de pulpa y el papel,NA,NA,NA,NA,NA,NA
2014,2H2,Industria de la alimentación y bebidas,NA,NA,NA,NA,NA,NA
2014,2H3,Otros,NA,NA,NA,NA,NA,NA
