Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
2014,F,SI,1A3d   Navegación marítima y fluvial,NA,253.06,2.50E-02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,6.79,6.35E+02,2.35E-01,1.57E-02,NA,253.06,5.26E-01,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.80,255.80
2014,D,SI,1A3dii   Navegación marítima y fluvial nacional,NA,253.06,2.50E-02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,6.79,6.35E+02,2.35E-01,1.57E-02,NA,253.06,5.26E-01,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.80,255.80
2014,F,SI,1A3e   Otro tipo de transporte,NA,581.66,7.85E-01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,5.49,3.88E+00,1.14E-01,5.26E-03,NA,581.66,16.48,9.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,607.83,607.83
2014,X,SI,1A3ei   Transporte por gasoductos,NA,464.90,7.70E-01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,5.02,3.35E+00,4.19E-02,NE,NA,464.90,16.17,7.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,488.85,488.85
2014,D,SI,1A3eii   Todo terreno,NA,116.76,1.48E-02,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.47,5.33E-01,7.24E-02,5.26E-03,NA,116.76,3.11E-01,1.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.98,118.98
2014,F,SI,1A4   Otros sectores,NA,"6,338.68",47.73,0.64,NA,NA,NA,NA,NA,NA,NA,NA,28.33,5.80E+02,90.17,1.45E+01,NA,"6,338.68","1,002.39",198.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7,539.86","7,539.86"
2014,D,SI,1A4a   Comercial / Institucional,NA,"1,090.51",1.02E-01,0.00,NA,NA,NA,NA,NA,NA,NA,NA,1.50,5.89E-01,4.67E-01,NE,NA,"1,090.51",2.13,6.29E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,093.27","1,093.27"
2014,D,SI,1A4b   Residencial,NA,"3,650.94",42.67,0.56,NA,NA,NA,NA,NA,NA,NA,NA,14.59,5.69E+02,84.42,1.38E+01,NA,"3,650.94",896.15,174.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,721.38","4,721.38"
2014,F,SI,1A4c   Agricultura / Silvicultura / Pesca / Piscifactorías,NA,"1,597.23",4.96,0.08,NA,NA,NA,NA,NA,NA,NA,NA,12.24,1.05E+01,5.28,6.36E-01,NA,"1,597.23",104.11,23.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,725.20","1,725.20"
2014,D,SI,1A4ci   Estacionaria,NA,"1,577.20",4.95,0.08,NA,NA,NA,NA,NA,NA,NA,NA,12.15,1.04E+01,5.26,6.35E-01,NA,"1,577.20",104.05,23.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,704.79","1,704.79"
